n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
205,-0.06,2.69,cccma_cgcm3_1,CMIP3,A1B,Southern Africa,SAF,land,ANN,2085,
206,0.14,2.51,cccma_cgcm3_1,CMIP3,A1B,Southern Africa,SAF,land,DJF,2085,
207,-0.19,2.81,cccma_cgcm3_1,CMIP3,A1B,Southern Africa,SAF,land,JJA,2085,
208,-0.06,2.62,cccma_cgcm3_1,CMIP3,A1B,Southern Africa,SAF,land,MAM,2085,
209,-0.12,2.81,cccma_cgcm3_1,CMIP3,A1B,Southern Africa,SAF,land,SON,2085,
210,-0.07,3.59,cccma_cgcm3_1,CMIP3,A1B,Africa: Sahara,SAH,land,ANN,2085,
211,-0.03,3.27,cccma_cgcm3_1,CMIP3,A1B,Africa: Sahara,SAH,land,DJF,2085,
212,-0.1,3.86,cccma_cgcm3_1,CMIP3,A1B,Africa: Sahara,SAH,land,JJA,2085,
213,-0.1,3.73,cccma_cgcm3_1,CMIP3,A1B,Africa: Sahara,SAH,land,MAM,2085,
214,-0.06,3.5,cccma_cgcm3_1,CMIP3,A1B,Africa: Sahara,SAH,land,SON,2085,
215,0.49,2.87,cccma_cgcm3_1,CMIP3,A1B,South Asia,SAS,land,ANN,2085,
216,0.12,3.13,cccma_cgcm3_1,CMIP3,A1B,South Asia,SAS,land,DJF,2085,
217,0.96,2.44,cccma_cgcm3_1,CMIP3,A1B,South Asia,SAS,land,JJA,2085,
218,0.36,3.21,cccma_cgcm3_1,CMIP3,A1B,South Asia,SAS,land,MAM,2085,
219,0.51,2.71,cccma_cgcm3_1,CMIP3,A1B,South Asia,SAS,land,SON,2085,
220,-0.04,2.26,cccma_cgcm3_1,CMIP3,A1B,South Australia/New Zealand,SAU,land,ANN,2085,
221,-0.15,2.41,cccma_cgcm3_1,CMIP3,A1B,South Australia/New Zealand,SAU,land,DJF,2085,
222,0.06,2.15,cccma_cgcm3_1,CMIP3,A1B,South Australia/New Zealand,SAU,land,JJA,2085,
223,0.02,2.31,cccma_cgcm3_1,CMIP3,A1B,South Australia/New Zealand,SAU,land,MAM,2085,
224,-0.08,2.15,cccma_cgcm3_1,CMIP3,A1B,South Australia/New Zealand,SAU,land,SON,2085,
225,0.43,2.38,cccma_cgcm3_1,CMIP3,A1B,Southeast Asia (sea),SEA,sea,ANN,2085,
226,0.3,2.36,cccma_cgcm3_1,CMIP3,A1B,Southeast Asia (sea),SEA,sea,DJF,2085,
227,0.47,2.4,cccma_cgcm3_1,CMIP3,A1B,Southeast Asia (sea),SEA,sea,JJA,2085,
228,0.5,2.33,cccma_cgcm3_1,CMIP3,A1B,Southeast Asia (sea),SEA,sea,MAM,2085,
229,0.43,2.42,cccma_cgcm3_1,CMIP3,A1B,Southeast Asia (sea),SEA,sea,SON,2085,
230,0.15,2.36,cccma_cgcm3_1,CMIP3,A1B,Southeastern South America,SSA,land,ANN,2085,
231,0.31,2.27,cccma_cgcm3_1,CMIP3,A1B,Southeastern South America,SSA,land,DJF,2085,
232,-0.01,2.49,cccma_cgcm3_1,CMIP3,A1B,Southeastern South America,SSA,land,JJA,2085,
233,0.21,2.29,cccma_cgcm3_1,CMIP3,A1B,Southeastern South America,SSA,land,MAM,2085,
234,0.11,2.39,cccma_cgcm3_1,CMIP3,A1B,Southeastern South America,SSA,land,SON,2085,
235,0.16,3.67,cccma_cgcm3_1,CMIP3,A1B,Tibetan Plateau,TIB,land,ANN,2085,
236,0.07,4.42,cccma_cgcm3_1,CMIP3,A1B,Tibetan Plateau,TIB,land,DJF,2085,
237,0.27,3.82,cccma_cgcm3_1,CMIP3,A1B,Tibetan Plateau,TIB,land,JJA,2085,
238,0.15,3.09,cccma_cgcm3_1,CMIP3,A1B,Tibetan Plateau,TIB,land,MAM,2085,
239,0.16,3.33,cccma_cgcm3_1,CMIP3,A1B,Tibetan Plateau,TIB,land,SON,2085,
240,0.07,2.97,cccma_cgcm3_1,CMIP3,A1B,West Africa,WAF,land,ANN,2085,
241,0.09,2.94,cccma_cgcm3_1,CMIP3,A1B,West Africa,WAF,land,DJF,2085,
242,0.16,2.93,cccma_cgcm3_1,CMIP3,A1B,West Africa,WAF,land,JJA,2085,
